ITEM;TOTAL
"3.2 EL NOMBRE DE LOS EMPLEADOS ESTA EN LA ORDEN DE TRABAJO";31
"3.2 ACTIVIDAD QUE SE ENCUENTRA EJECUTANDO DISPONE DE LOS PROCEDIMIENTOS DE TRABAJO VIGENTES";12
"3.3 CUMPLE CON EL PROCEDIMIENTO DE TRABAJO Y LAS NORMAS VIGENTES";23
"3.3 EL PERSONAL QUE EJECUTA LA TAREA FUE INSTRUIDO EN EL PROCEDIMIENTO DE TRABAJO SEGURO.";8
"3.4 LA ACTIVIDAD EN EJECUCIÓN DISPONE DE LOS PROCEDIMIENTOS VIGENTES";28
"3.4 CUMPLE CON EL PTS Y NORMAS TÉCNICAS";1
"3.4 CUMPLE CON EL PROCEDIMIENTO DE TRABAJO Y LAS NORMAS TÉCNICAS";9
"3.5 DISPONE DE LOS PLANOS O GUÍAS PARA LAS INSTALACIONES VIGENTES";23
"3.5 DISPONE DE LOS PLANOS O GUÍAS DE LAS INSTALACIONES VIGENTES";3
"4.10 USA CHALECO REFLECTANTE EN BUEN ESTADO Y NORMALIZADO";37
"4.10 USA CHALECO REFLECTANTE EN BUEN ESTADO Y NORMALIZADO";9
"4.11 USA MANGAS DIELÉCTRICAS EN BUEN ESTADO Y NORMALIZADO";2
"4.11 UTILIZA PROTECCIÓN RESPIRATORIA, EN BUEN ESTADO Y NORMALIZADA";1
"4.11 UTILIZA PROTECCIÓN RESPIRATORIA, EN BUEN ESTADO Y NORMALIZADO.";7
"4.12 USA PROTECCIÓN RESPIRATORIA EN BUEN ESTADO Y NORMALIZADO";8
"4.12 CUENTA CON EXTINTOR DE INCENDIO EN LA ZONA DE TRABAJO. (MÍN 6 KG)";17
"4.1 UTILIZA CASCO DE SEGURIDAD CON BARBIQUEJO, EN BUEN ESTADO Y NORMALIZADO";13
"4.1 UTILIZA CASCO DE SEGURIDAD CON SISTEMA DE FIJACIÓN EN BUEN ESTADO Y NORMALIZADO";8
"4.2 USA CALZADO DE SEGURIDAD EN BUEN ESTADO Y NORMALIZADO";19
"4.2 UTILIZA CALZADO DE SEGURIDAD, EN BUEN ESTADO Y NORMALIZADO";7
"4.3 USA GUANTES DE SEGURIDAD ACORDE AL TRABAJO EN BUEN ESTADO Y NORMALIZADO";11
"4.3 UTILIZA TRAJE DESCARNE PARA LABORES DE SOLDADURA O CORTE CON ESMERIL.";5
"4.4 UTILIZA GUANTES DIELÉCTRICOS, EN BT O MT SEGÚN CORRESPONDA, EN BUEN ESTADO Y NORMALIZADO";13
"4.4 UTILIZA GUANTES DE SEGURIDAD.";3
"4.4 UTILIZA GUANTES DE ACUERDO A LA LABOR QUE EJECUTA.";9
"4.5 UTILIZA PROTECCIÓN FACIAL, EN BUEN ESTADO Y NORMALIZADO";12
"4.5 UTILIZA PROTECCIÓN FACIAL, EN BUEN ESTADO Y NORMALIZADO.";8
"4.6 USA SISTEMAS DE PROTECCIÓN CONTRA CAIDAS (CINTURÓN, ARNÉS)";5
"4.6 UTILIZA SISTEMA DE PROTECCIÓN CONTRA CAÍDAS DE ALTURA (CINTURÓN, ARNÉS COMPLETO)";3
"4.7 USA ROPA DE TRABAJO ACORDE AL TRABAJO EN BUEN ESTADO Y NORMALIZADO.";28
"4.7 USA ROPA DE TRABAJO ACORDE AL TRABAJO EN BUEN ESTADO Y NORMALIZADO.";7
"4.8 USA PROTECTOR OCULAR EN BUEN ESTADO Y NORMALIZADO";25
"4.8 USA PROTECTOR OCULAR EN BUEN ESTADO Y NORMALIZADO";9
"4.9 USA PROTECTORES AUDITIVOS EN BUEN ESTADO Y NORMALIZADO";8
"4.9 USA PROTECTORES AUDITIVOS EN BUEN ESTADO Y NORMALIZADO";8
"5.1 UTILIZA LOS MATERIALES INDICADOS";7
"5.1 EXISTE ORDEN Y ASEO EN ZONA DE TRABAJO";5
"5.2 UTILIZA LOS EQUIPOS INDICADOS";25
"5.2 EQUIPOS INDICADOS Y EN BUEN ESTADO";1
"5.2 SE ENCUENTRAN EN BUEN ESTADO LOS EQUIPOS UTILIZADOS.";11
"5.3 UTILIZA LAS HERRAMIENTAS INDICADAS";45
"5.3 HERRAMIENTAS INDICADAS Y EN BUEN ESTADO";1
"5.3 SE ENCUENTRAN EN BUEN ESTADO LAS HERRAMIENTAS UTILIZADAS.";1
"6.1 ORDEN Y/O LIMPIEZA EN LA ZONA DE TRABAJO";23
"6.1 ORDEN Y/O LIMPIEZA EN ZONA DE TRABAJO";47
"6.1 LA FAENA CUENTA CON MEDIO DE REFRIGERACION PARA LA COMIDA DEL PERSONAL.";36
"6.2 MEDIOS DE COMUNICACIÓN EXISTENTE";5
"6.2 LA FAENA CUENTA CON BAÑOS SUFICIENTES, LIMPIOS Y SANITIZADOS.";11
"6.3 EMPLEADOS TRABAJANDO EN CONDICIONES FÍSICAS Y PSÍQUICAS ADECUADAS";1
"6.3 EMPLEADO TRABAJANDO EN CONDICIONES FÍSICAS Y PSÍQUICAS ADECUADAS";1
"6.3 LA FAENA CUENTA CON COMEDORES PARA EL PERSONAL.";15
"6.4 SUPERVISIÓN ADECUADA DE LA TAREA";4
"6.4 SUPERVISIÓN ADECUADA DE LA TAREA.";5
"6.4 LA FAENA CUENTA CON AGUA POTABLE EN CANTIDAD SUFICIENTE.";6
"6.5 SE ALMACENAN SUSTANCIAS Y/O RESIDUOS PELIGROSOS";1
"7.1 PROTECCIÓN COMPLETA DE LA ZONA DE TRABAJO";24
"7.1 PROTECCIÓN COMPLETA DE LA ZONA DE TRABAJO";8
"7.2 SEÑALIZACIÓN COMPLETA DE LA ZONA DE TRABAJO";37
"7.2 SEÑALIZACIÓN COMPLETA DE LA ZONA DE TRABAJO";1
"7.2 SEÑALIZACIÓN COMPLETA DE LA ZONA DE TRABAJO";21
"8.1 SE IDENTIFICARON LOS RIESGOS DE LA TAREA";14
"8.1 IDENTIFICÓ LOS RIESGOS DE LA TAREA";1
"8.1 SE IDENTIFICARON LOS RIESGOS DE LA TAREA";8
"8.2 SE REALIZÓ LA CHARLA INICIAL DE 5 MINUTOS";18
"8.2 SE REALIZÓ LA CHARLA INICIAL DE CINCO MINUTOS";1
"8.2 SE REALIZÓ LA CHARLA INICIAL DE 5 MINUTOS";6
"9.1 PORTA CREDENCIAL DE IDENTIFICACIÓN AUTORIZADA PARA TRABAJAR";144
"9.1 PORTA CREDENCIAL DE IDENTIFICACIÓN AUTORIZADA PARA TRABAJAR";27
"9.1 PORTA CREDENCIAL DE IDENTIFICACIÓN AUTORIZADA PARA TRABAJAR";88
"9.2 POSEE LA COMPETENCIA ADECUADA PARA LA ACTIVIDAD TÉCNICA QUE EJECUTA";1
"9.2 POSEER LA COMPETENCIA ADECUADA PARA LA ACTIVIDAD TÉCNICA QUE EJECUTA";1
"9.3 SABE CÓMO ACTUAR EN CASO DE EMERGENCIA O ACCIDENTE LABORAL";3
"9.3 SABE O CONOCE CÓMO ACTUAR EN CASO DE EMERGENCIAS O ACCIDENTES O INCIDENTES DE TRABAJO.";4
