FECHA	 GERENCIA CAM	 SUB GERENCIA CAM	 AREA DE CAM	 EMPRESA CONTRATISTA	 Nº ENC	 Q NC	 N IPAL
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	2	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	2	40
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	2	20
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	2	30
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	6	80
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	3	60
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	1	20
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	"CAM Chile S.A"	1	2	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	"CODEL"	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	3	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"INGELDUP"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	2	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	3	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	2	70
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"Fuster"	1	3	60
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	40
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	"CODEL"	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	3	40
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	2	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	2	70
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	3	40
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"RAMIRO CEA"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"RAMIRO CEA"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	2	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	2	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	1	50
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	2	40
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	5	70
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	2	60
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	2	20
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	"MCH SERVICIOS ELECTRICOS"	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	0	0
05-2014	"Servicios de Negocios"	"Servicios de Negocios"	"Logística"	"SOSIAS"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Aereo"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	4	50
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	2	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	2	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	2	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"RAMIRO CEA"	1	0	0
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	"SILVA & CIA"	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	2	40
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	"CAM Chile S.A"	1	0	0
05-2014	"Gerencia Operaciones"	"Telemedida y Automatizacion"	"Eléctrica"	"MCH SERVICIOS ELECTRICOS"	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Mantenimiento Subterraneo"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Servicios de Emergencia"	" -- SIN CONTRATISTA -- "	1	0	0
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	3	120
05-2014	"Gerencia Operaciones"	"Servicios de Distribucion"	"Construccion OOEE y OOCC"	" -- SIN CONTRATISTA -- "	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	2	60
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"SOT (Civil - Electrico)"	"CAM Chile S.A"	1	1	20
05-2014	"Gerencia Operaciones"	"Operaciones Comerciales & Utilities"	"Eléctrica"	" -- SIN CONTRATISTA -- "	1	0	0
